IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,X,Y,Location,PdId
151104745,LARCENY/THEFT,THEFT OF CHECKS OR CREDIT CARDS,Thursday,12/10/2015,12:00,CENTRAL,NONE,700 Block of NORTHPOINT ST,-122.419548468721,37.8057696388121,"(37.8057696388121, -122.419548468721)",15110474506125
151090263,FORGERY/COUNTERFEITING,FORGERY & COUNTERFEITING (GENERAL),Thursday,12/10/2015,15:00,SOUTHERN,NONE,0 Block of BLUXOME ST,-122.396829271959,37.7767640297712,"(37.7767640297712, -122.396829271959)",15109026309262
151089391,FRAUD,FRAUDULENT USE OF AUTOMATED TELLER CARD,Thursday,12/10/2015,11:42,CENTRAL,NONE,900 Block of SUTTER ST,-122.416032976503,37.7883351248181,"(37.7883351248181, -122.416032976503)",15108939109250
151087414,LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Thursday,12/10/2015,13:08,SOUTHERN,NONE,1000 Block of HARRISON ST,-122.404814138469,37.7767624714108,"(37.7767624714108, -122.404814138469)",15108741406301
151086745,OTHER OFFENSES,MISCELLANEOUS INVESTIGATION,Thursday,12/10/2015,05:00,MISSION,NONE,500 Block of DOLORES ST,-122.425842162189,37.7606220053743,"(37.7606220053743, -122.425842162189)",15108674568020
151086745,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Thursday,12/10/2015,05:00,MISSION,NONE,500 Block of DOLORES ST,-122.425842162189,37.7606220053743,"(37.7606220053743, -122.425842162189)",15108674506373
151072396,VEHICLE THEFT,STOLEN AUTOMOBILE,Thursday,12/10/2015,12:00,TENDERLOIN,NONE,LEAVENWORTH ST / TURK ST,-122.414056291891,37.7827931071006,"(37.7827931071006, -122.414056291891)",15107239607021
151072261,LARCENY/THEFT,GRAND THEFT FROM A BUILDING,Thursday,12/10/2015,15:00,CENTRAL,NONE,0 Block of RENO PL,-122.40551846259,37.799850578872,"(37.799850578872, -122.40551846259)",15107226106304
151072186,VEHICLE THEFT,STOLEN AUTOMOBILE,Thursday,12/10/2015,09:00,MISSION,NONE,JERSEY ST / CASTRO ST,-122.434005715499,37.7504960399913,"(37.7504960399913, -122.434005715499)",15107218607021
151072073,NON-CRIMINAL,FOUND PROPERTY,Thursday,12/10/2015,18:00,SOUTHERN,NONE,600 Block of 5TH ST,-122.39763695321,37.7755979963185,"(37.7755979963185, -122.39763695321)",15107207372000
